timestamps,X,Y,Z
1699986360.280,0.207,-0.037,0.994
1699986360.340,0.193,-0.049,0.973
1699986360.340,0.191,-0.047,0.961
1699986360.340,0.193,-0.045,0.972
1699986360.398,0.201,-0.049,0.984
1699986360.398,0.215,-0.046,0.978
1699986360.398,0.238,-0.044,0.965
1699986360.449,0.247,-0.037,0.954
1699986360.449,0.253,-0.037,0.968
1699986360.449,0.248,-0.037,0.989
1699986360.506,0.243,-0.028,0.992
1699986360.506,0.240,-0.031,0.967
1699986360.506,0.237,-0.031,0.957
1699986360.566,0.235,-0.031,0.967
1699986360.566,0.241,-0.033,0.976
1699986360.566,0.252,-0.036,0.966
1699986360.626,0.266,-0.038,0.960
1699986360.626,0.271,-0.043,0.960
1699986360.626,0.273,-0.043,0.965
1699986360.691,0.265,-0.044,0.975
1699986360.691,0.262,-0.036,0.958
1699986360.691,0.261,-0.039,0.942
1699986360.746,0.257,-0.033,0.956
1699986360.746,0.258,-0.030,0.963
1699986360.746,0.272,-0.029,0.969
1699986360.805,0.283,-0.031,0.957
1699986360.805,0.302,-0.024,0.939
1699986360.805,0.299,-0.025,0.952
1699986360.866,0.297,-0.023,0.974
1699986360.866,0.295,-0.021,0.983
1699986360.866,0.294,-0.014,0.956
1699986360.939,0.296,-0.003,0.932
1699986360.939,0.289,0.004,0.948
1699986360.939,0.289,0.009,0.971
1699986360.987,0.297,0.013,0.972
1699986360.987,0.310,0.008,0.959
1699986360.987,0.316,0.004,0.955
1699986361.045,0.321,0.007,0.950
1699986361.045,0.314,0.009,0.970
1699986361.045,0.299,0.011,0.975
1699986361.109,0.287,0.010,0.955
1699986361.109,0.275,0.011,0.950
1699986361.109,0.269,0.014,0.970
1699986361.165,0.277,0.015,0.974
1699986361.165,0.289,0.011,0.970
1699986361.165,0.301,0.009,0.951
1699986361.224,0.313,0.005,0.944
1699986361.224,0.311,0.001,0.953
1699986361.224,0.305,0.001,0.973
1699986361.283,0.290,-0.002,0.971
1699986361.283,0.275,-0.004,0.952
1699986361.283,0.264,-0.003,0.947
1699986361.345,0.258,0.005,0.963
1699986361.345,0.261,-0.002,0.972
1699986361.345,0.273,-0.006,0.964
1699986361.390,0.288,-0.013,0.951
1699986361.390,0.299,-0.015,0.937
1699986361.390,0.301,-0.025,0.948
1699986361.450,0.296,-0.028,0.974
1699986361.450,0.280,-0.031,0.971
1699986361.450,0.275,-0.025,0.950
1699986361.510,0.256,-0.022,0.961
1699986361.510,0.252,-0.024,0.977
1699986361.510,0.255,-0.027,0.978
1699986361.574,0.276,-0.036,0.957
1699986361.574,0.290,-0.041,0.936
1699986361.574,0.299,-0.042,0.926
1699986361.629,0.301,-0.047,0.942
1699986361.629,0.292,-0.044,0.964
1699986361.629,0.280,-0.048,0.967
1699986361.691,0.268,-0.040,0.959
1699986361.691,0.260,-0.034,0.957
1699986361.691,0.253,-0.030,0.974
1699986361.751,0.258,-0.027,0.977
1699986361.751,0.267,-0.034,0.965
1699986361.751,0.282,-0.040,0.945
1699986361.813,0.288,-0.038,0.944
1699986361.813,0.287,-0.034,0.949
1699986361.813,0.281,-0.038,0.968
1699986361.871,0.274,-0.035,0.973
1699986361.871,0.266,-0.031,0.962
1699986361.871,0.256,-0.024,0.961
1699986361.930,0.253,-0.017,0.971
1699986361.930,0.264,-0.018,0.968
1699986361.930,0.276,-0.021,0.964
1699986361.989,0.285,-0.023,0.953
1699986361.989,0.290,-0.023,0.946
1699986361.989,0.287,-0.024,0.952
1699986362.042,0.276,-0.023,0.961
1699986362.042,0.265,-0.020,0.978
1699986362.042,0.258,-0.018,0.959
1699986362.110,0.250,-0.016,0.954
1699986362.110,0.254,-0.017,0.966
1699986362.110,0.259,-0.015,0.977
1699986362.170,0.275,-0.016,0.962
1699986362.170,0.284,-0.015,0.952
1699986362.170,0.285,-0.017,0.954
1699986362.230,0.286,-0.020,0.959
1699986362.230,0.282,-0.021,0.964
1699986362.230,0.277,-0.018,0.973
1699986362.278,0.273,-0.021,0.957
1699986362.278,0.264,-0.017,0.949
1699986362.278,0.258,-0.011,0.967
1699986362.336,0.264,-0.007,0.972
1699986362.336,0.276,-0.008,0.971
1699986362.336,0.285,-0.013,0.959
1699986362.396,0.299,-0.016,0.943
1699986362.396,0.296,-0.018,0.948
1699986362.396,0.292,-0.021,0.964
1699986362.454,0.280,-0.024,0.977
1699986362.454,0.271,-0.018,0.966
1699986362.454,0.263,-0.020,0.954
1699986362.516,0.260,-0.014,0.964
1699986362.516,0.261,-0.013,0.970
1699986362.516,0.267,-0.013,0.970
1699986362.576,0.279,-0.014,0.957
1699986362.576,0.291,-0.017,0.945
1699986362.576,0.296,-0.018,0.947
1699986362.634,0.290,-0.022,0.956
1699986362.634,0.280,-0.024,0.970
1699986362.634,0.270,-0.022,0.972
1699986362.699,0.262,-0.013,0.953
1699986362.699,0.260,-0.015,0.958
1699986362.699,0.259,-0.016,0.968
1699986362.755,0.267,-0.009,0.970
1699986362.755,0.279,-0.013,0.965
1699986362.755,0.287,-0.020,0.944
1699986362.815,0.293,-0.021,0.948
1699986362.815,0.292,-0.022,0.944
1699986362.815,0.289,-0.023,0.960
1699986362.874,0.279,-0.023,0.985
1699986362.874,0.267,-0.020,0.974
1699986362.874,0.264,-0.021,0.958
1699986362.940,0.258,-0.022,0.964
1699986362.940,0.265,-0.021,0.966
1699986362.940,0.276,-0.020,0.963
1699986362.995,0.287,-0.019,0.949
1699986362.995,0.294,-0.018,0.941
1699986362.995,0.295,-0.026,0.947
1699986363.056,0.290,-0.029,0.961
1699986363.056,0.284,-0.024,0.969
1699986363.056,0.270,-0.028,0.972
1699986363.114,0.262,-0.022,0.964
1699986363.114,0.257,-0.022,0.966
1699986363.114,0.259,-0.019,0.973
1699986363.168,0.264,-0.019,0.971
1699986363.168,0.275,-0.021,0.957
1699986363.168,0.288,-0.024,0.941
1699986363.220,0.291,-0.026,0.940
1699986363.220,0.293,-0.028,0.947
1699986363.220,0.284,-0.029,0.968
1699986363.279,0.277,-0.028,0.978
1699986363.279,0.266,-0.030,0.969
1699986363.279,0.261,-0.027,0.960
1699986363.339,0.261,-0.022,0.966
1699986363.339,0.263,-0.022,0.971
1699986363.339,0.272,-0.019,0.964
1699986363.402,0.285,-0.020,0.953
1699986363.402,0.292,-0.027,0.942
1699986363.402,0.294,-0.027,0.947
1699986363.460,0.283,-0.029,0.959
1699986363.460,0.276,-0.032,0.967
1699986363.460,0.266,-0.034,0.972
1699986363.519,0.267,-0.030,0.955
1699986363.519,0.261,-0.021,0.965
1699986363.519,0.265,-0.020,0.975
1699986363.578,0.276,-0.023,0.972
1699986363.578,0.292,-0.026,0.954
1699986363.578,0.296,-0.028,0.947
1699986363.644,0.296,-0.033,0.941
1699986363.644,0.292,-0.035,0.951
1699986363.644,0.285,-0.031,0.963
1699986363.701,0.275,-0.030,0.969
1699986363.701,0.267,-0.031,0.967
1699986363.701,0.259,-0.030,0.966
1699986363.759,0.260,-0.027,0.965
1699986363.759,0.266,-0.026,0.964
1699986363.759,0.277,-0.028,0.964
1699986363.821,0.284,-0.027,0.951
1699986363.821,0.285,-0.028,0.946
1699986363.821,0.281,-0.027,0.947
1699986363.880,0.273,-0.025,0.960
1699986363.880,0.269,-0.034,0.973
1699986363.880,0.263,-0.028,0.971
1699986363.941,0.268,-0.029,0.969
1699986363.941,0.270,-0.030,0.965
1699986363.941,0.269,-0.028,0.963
1699986364.001,0.272,-0.029,0.961
1699986364.001,0.269,-0.025,0.957
1699986364.001,0.271,-0.026,0.955
1699986364.059,0.272,-0.028,0.953
1699986364.059,0.269,-0.025,0.955
1699986364.059,0.273,-0.021,0.960
1699986364.107,0.269,-0.022,0.967
1699986364.107,0.270,-0.023,0.966
1699986364.107,0.265,-0.025,0.971
1699986364.179,0.270,-0.025,0.965
1699986364.179,0.269,-0.028,0.955
1699986364.179,0.267,-0.028,0.963
1699986364.226,0.275,-0.026,0.957
1699986364.226,0.277,-0.026,0.961
1699986364.226,0.276,-0.024,0.969
1699986364.293,0.274,-0.024,0.967
1699986364.293,0.277,-0.025,0.964
1699986364.293,0.274,-0.030,0.955
1699986364.345,0.272,-0.030,0.954
1699986364.345,0.271,-0.033,0.959
1699986364.345,0.275,-0.029,0.961
1699986364.405,0.279,-0.029,0.959
1699986364.405,0.277,-0.029,0.967
1699986364.405,0.274,-0.031,0.968
1699986364.465,0.277,-0.030,0.959
1699986364.465,0.273,-0.032,0.960
1699986364.465,0.274,-0.028,0.962
1699986364.527,0.274,-0.028,0.963
1699986364.527,0.276,-0.028,0.963
1699986364.527,0.275,-0.030,0.960
1699986364.586,0.275,-0.031,0.958
1699986364.586,0.277,-0.034,0.957
1699986364.586,0.279,-0.025,0.956
1699986364.644,0.279,-0.029,0.961
1699986364.644,0.277,-0.024,0.960
1699986364.644,0.272,-0.030,0.963
1699986364.704,0.275,-0.028,0.965
1699986364.704,0.274,-0.028,0.965
1699986364.704,0.277,-0.025,0.965
1699986364.766,0.281,-0.023,0.959
1699986364.766,0.284,-0.025,0.963
1699986364.766,0.293,-0.025,0.962
1699986364.825,0.292,-0.022,0.962
1699986364.825,0.294,-0.021,0.965
1699986364.825,0.293,-0.025,0.968
1699986364.884,0.288,-0.025,0.961
1699986364.884,0.291,-0.021,0.964
1699986364.884,0.289,-0.021,0.971
1699986364.947,0.295,-0.019,0.963
1699986364.947,0.286,-0.014,0.973
1699986364.947,0.263,-0.022,0.982
1699986364.993,0.242,-0.020,0.975
1699986364.993,0.217,-0.021,0.923
1699986364.993,0.202,-0.018,0.912
1699986365.065,0.228,-0.005,0.909
1699986365.065,0.238,-0.000,0.940
1699986365.065,0.226,0.004,0.973
1699986365.109,0.210,0.001,0.988
1699986365.109,0.197,0.001,1.004
1699986365.109,0.201,-0.004,0.996
1699986365.171,0.204,-0.009,0.986
1699986365.171,0.202,-0.020,0.981
1699986365.171,0.195,-0.030,0.981
1699986365.233,0.207,-0.031,0.980
1699986365.233,0.223,-0.034,0.972
1699986365.233,0.235,-0.034,0.959
1699986365.291,0.237,-0.034,0.956
1699986365.350,0.238,-0.029,0.972
1699986365.350,0.242,-0.022,0.982
1699986365.350,0.243,-0.022,0.984
1699986365.412,0.238,-0.014,0.988
1699986365.412,0.235,-0.010,0.986
1699986365.412,0.237,-0.010,0.982
1699986365.469,0.232,-0.005,0.970
1699986365.469,0.228,-0.007,0.962
1699986365.469,0.215,-0.005,0.964
1699986365.530,0.211,-0.009,0.960
1699986365.530,0.206,-0.007,0.965
1699986365.530,0.200,-0.006,0.965
1699986365.589,0.199,-0.004,0.971
1699986365.589,0.199,-0.005,0.977
1699986365.589,0.198,-0.003,0.998
1699986365.652,0.204,-0.002,0.995
1699986365.652,0.211,-0.008,0.986
1699986365.652,0.213,-0.012,0.988
1699986365.699,0.223,-0.012,0.988
1699986365.699,0.228,-0.015,0.982
1699986365.699,0.234,-0.013,0.974
1699986365.770,0.240,-0.012,0.973
1699986365.770,0.242,-0.017,0.963
1699986365.770,0.245,-0.013,0.965
1699986365.831,0.241,-0.012,0.968
1699986365.831,0.235,-0.009,0.975
1699986365.831,0.234,-0.014,0.976
1699986365.889,0.236,-0.010,0.973
1699986365.889,0.236,-0.009,0.969
1699986365.889,0.234,-0.012,0.976
1699986365.936,0.236,-0.008,0.975
1699986365.936,0.236,-0.006,0.972
1699986365.936,0.240,-0.009,0.966
1699986366.013,0.243,-0.008,0.964
1699986366.013,0.244,-0.004,0.968
1699986366.013,0.253,-0.002,0.966
1699986366.055,0.254,-0.000,0.964
1699986366.055,0.257,0.004,0.965
1699986366.055,0.253,0.005,0.967
1699986366.117,0.250,0.003,0.969
1699986366.117,0.246,0.006,0.974
1699986366.117,0.245,0.005,0.971
1699986366.174,0.249,0.006,0.962
1699986366.174,0.250,0.005,0.968
1699986366.174,0.248,0.006,0.967
1699986366.235,0.249,0.007,0.965
1699986366.235,0.250,0.006,0.967
1699986366.235,0.250,0.006,0.972
1699986366.294,0.248,0.006,0.965
1699986366.294,0.251,0.003,0.962
1699986366.294,0.255,0.009,0.965
1699986366.360,0.254,0.011,0.967
1699986366.360,0.254,0.012,0.973
1699986366.360,0.253,0.011,0.979
1699986366.414,0.259,0.013,0.973
1699986366.414,0.261,0.010,0.968
1699986366.414,0.260,0.007,0.963
1699986366.474,0.265,0.005,0.962
1699986366.474,0.266,0.001,0.963
1699986366.474,0.268,0.002,0.963
1699986366.536,0.267,-0.001,0.958
1699986366.536,0.260,0.004,0.964
1699986366.536,0.261,-0.000,0.959
1699986366.594,0.258,0.000,0.960
1699986366.594,0.256,-0.000,0.967
1699986366.594,0.258,0.004,0.971
1699986366.655,0.256,0.008,0.971
1699986366.655,0.256,0.007,0.969
1699986366.655,0.254,0.005,0.968
1699986366.714,0.251,0.003,0.966
1699986366.714,0.252,0.003,0.964
1699986366.714,0.251,0.007,0.963
1699986366.777,0.252,0.006,0.965
1699986366.777,0.251,0.008,0.967
1699986366.777,0.249,0.003,0.968
1699986366.824,0.250,0.003,0.967
1699986366.824,0.253,0.007,0.965
1699986366.824,0.249,0.009,0.964
1699986366.881,0.249,0.008,0.969
1699986366.881,0.250,0.005,0.968
1699986366.881,0.253,0.011,0.968
1699986366.955,0.249,0.008,0.967
1699986366.955,0.249,0.010,0.967
1699986366.955,0.254,0.009,0.966
1699986367.015,0.253,0.009,0.975
1699986367.015,0.250,0.006,0.969
1699986367.015,0.256,0.007,0.970
1699986367.062,0.258,-0.002,0.960
1699986367.062,0.263,0.005,0.964
1699986367.062,0.257,0.007,0.978
1699986367.121,0.258,0.003,0.971
1699986367.121,0.261,0.002,0.966
1699986367.121,0.264,0.003,0.963
1699986367.180,0.265,0.000,0.961
1699986367.180,0.260,-0.001,0.966
1699986367.180,0.261,-0.001,0.965
1699986367.242,0.262,-0.003,0.964
1699986367.242,0.260,-0.002,0.966
1699986367.242,0.255,-0.004,0.972
1699986367.299,0.260,-0.003,0.960
1699986367.299,0.258,-0.004,0.959
1699986367.299,0.259,-0.001,0.965
1699986367.360,0.260,-0.004,0.966
1699986367.360,0.259,-0.011,0.969
1699986367.360,0.257,-0.009,0.961
1699986367.420,0.255,-0.013,0.961
1699986367.420,0.259,-0.010,0.961
1699986367.420,0.260,-0.008,0.963
1699986367.482,0.263,-0.011,0.967
1699986367.482,0.265,-0.010,0.969
1699986367.482,0.261,-0.014,0.963
1699986367.539,0.262,-0.019,0.968
1699986367.539,0.258,-0.016,0.966
1699986367.539,0.257,-0.020,0.963
1699986367.599,0.259,-0.019,0.957
1699986367.599,0.254,-0.018,0.966
1699986367.599,0.255,-0.020,0.967
1699986367.659,0.256,-0.020,0.969
1699986367.659,0.255,-0.016,0.965
1699986367.659,0.259,-0.018,0.963
1699986367.719,0.260,-0.017,0.972
1699986367.719,0.255,-0.017,0.963
1699986367.719,0.253,-0.019,0.970
1699986367.780,0.246,-0.020,0.970
